X	description	o1	o2	o3	t1	t2	t3	v1	v2	v3	p1	p2	p3	j1	j2	ja
Locus16385	2006	protein kibra-like	0.398360682791645	0.294489289557236	0.472405473849067	0.11018902032476	0.121140225902152	0.324222675150089	-0.0986921497418395	-0.28066036082924	0.0482781515509085	0.365485257256791	0.0877647845609168	0.353571890488666	-0.356234912809584	-0.672607156393197	-0.373368150844303
Locus17759	2473	lamin-b receptor	-0.542564645461352	-0.358373775797166	-0.270043460997625	-0.786315510212289	-0.133912409208029	-0.425085415840942	-1.21970227023604	-0.632301730212878	-0.638609505275765	-0.0630592732737575	-0.0643931444113136	0.46033035027824	0.541560898176042	0.417802918841463	0.558620852822572
Locus17766	2474	mgc79752 protein	-0.502055121601553	-0.996489103914288	-0.985461777326219	-0.177181482707579	-0.0396421051268714	0.0180685162695435	-1.38764024468718	-1.00771289335905	-0.719700900319573	0.21005667408583	-0.575351259343018	-0.300349270600434	0.453870402052864	0.448167526745512	1.15888438880061
Locus18615	2746	strombine dehydrogenase	0.01544691200213	0.0451735491117655	-0.0797475173636895	0.0687326239638897	0.15730543012736	-0.224676703412353	-1.11850537623847	-0.704298742909193	-0.585303702734516	0.00346184157518301	0.204280558417742	0.0431057844667915	0.574609324467352	0.447522469275709	0.338089752839827
Locus18662	2757	wd repeat-containing protein 3-like	-0.653294838822943	-1.12536857469205	-0.775862765434568	-0.0869566913972847	-0.0837818455708065	-0.202975521711441	-0.248830086218705	-0.620745680298519	-0.258049637428711	-0.205578320418603	0.117160147752053	-0.529701008232941	0.473467878322923	0.597470993388459	0.900786921695788
Locus20	3166	hypothetical chloroplast rf2	-0.345534391078603	-0.295840792871365	-0.276611095591348	-0.317072999262742	-0.265533814324096	-0.438833600717136	-0.217138050446732	-0.315191201951962	-0.068037138579478	-0.106821337716012	-0.349115073002342	-0.211348075557683	0.629820882863868	0.320987607219521	0.669436177502282
Locus20024	3176	neuronal cell adhesion	0.67557085853172	0.228091435900536	0.396260646968128	0.26722932139224	-0.0649846997640579	0.214483625897678	-0.0153913924850532	0.372936254412945	0.2558563814895	0.198962236319692	0.137090798817982	0.375719638899722	-0.45247818798355	-0.475846892361046	-0.390655891391727
Locus20173	3235	4-aminobutyrate aminotransferase	-0.158472641804502	-0.495511224027005	0.0631242962267945	0.148761660554555	-0.120768135132436	-0.119299544582927	-0.866620962758057	-0.575792783762523	-0.708373103523858	-0.205606178139612	-0.560292520870345	-0.246279524918517	0.569299289861074	0.34276667093612	0.778873622119151
Locus20331	3286	sulfotransferase phenol- member 2-like	-0.335482550839648	-0.349225647858647	-0.646680583373787	-0.304142125434766	-0.096119460852896	0.0167828254019775	-0.437778961975825	-0.308689361099844	-0.305340849568466	0.14392703616278	0.0497199731995155	-0.182725349411227	0.396697355504333	0.984033887047237	0.373972899210357
Locus20365	3299	39s ribosomal protein mitochondrial-like	-0.315880183734303	-0.582561953099287	-0.618441497516439	-0.447588309024248	-0.244064456257433	-0.299621199475926	0.132363120450459	0.045931237971188	-0.419539251980206	-0.185282022390853	-0.354477704959907	-0.457818866345863	0.427038905074818	0.693082393788603	0.650405225009487
Locus2162	3726	crossveinless 2	-2.58862096952335	-3.05133257772338	-2.35991544883578	-1.54990318483134	-1.87185499911275	-1.70629415183013	-3.24106514507407	-3.36911868856336	-2.75897026609541	-0.326040929642893	-2.54028811018635	-0.747999136466694	0.294362625725742	0.125041928380226	1.98375291689321
Locus21620	3727	conserved plasmodium protein	-0.451836498862919	-0.411497553007061	-0.520610330013107	-0.435323591156661	0.395433722888608	-0.103726098335501	0.313412001478964	-0.00295550148413606	-0.304933525338481	-0.0427096649182424	-0.176820127354413	0.0791845090406808	0.761461050129756	1.00694918457681	0.812717650701091
Locus21685	3751	golgin subfamily a member 7	0.23878080269524	0.332507083881532	0.359679141503892	0.218290762866597	0.0377087982321679	0.557996669571072	0.226921521146996	0.317633541541828	-0.0982460840344195	-0.0205948873095219	-0.219431998728546	0.0693974128914276	-1.02751947658387	-0.409916758441284	-0.74098737590346
Locus2223	3922	ribosomal protein s17	-1.39391380263565	-0.536514044509835	-1.23809394032945	-0.0159761594900344	0.159659012576286	0.0278924966098839	-0.307369300627682	-0.324825595782909	-0.107017450723369	0.324050588817863	-0.328234492037845	-0.493877269965509	0.69307389687481	1.19803571138708	0.973742137827235
Locus2244	3986	toll-like receptor	-0.0936982809577705	-0.337309481365764	-0.237092194871733	-0.203534872449378	-0.06325618856561	-0.316497348343237	-0.747652504119627	-0.410228596879815	-0.734193248824042	0.216794813125232	-0.258295544268542	-0.479843689225428	0.583183976653574	0.447085720315217	0.510427754298415
Locus23275	4249	hypothetical protein BRAFLDRAFT_121927 [Branchiostoma floridae]	0.767917639854905	0.638210645549127	0.533108234330918	0.470107803735739	0.245197997439832	0.68587653572238	-0.0590325913375413	0.495646813757048	0.279304182770056	0.28121000155178	0.402483630608693	0.325414677815139	-0.61949783122457	-0.159547056556443	-0.542321624795151
Locus23293	4255	ribosomal protein l9 variant 1	-1.78593983475179	-0.751492419466179	-1.29024653831184	-0.238289229790406	0.055812359859011	0.058881151814834	-0.344106320178612	-0.502518143866784	-0.503555535620778	-0.00648285767156399	-0.423348490004101	0.017312647684038	0.556331163137401	0.846683748583534	0.784860669332684
Locus2366	4371	rac gtpase	0.717565985411305	0.658958709027773	0.718122239828755	0.585963259143812	-0.314167445957264	0.635016398120229	0.546637617873899	0.489133293518675	0.521590966578199	-0.237018746978086	-0.0796623096739245	0.216297507283948	-0.672898659882795	-0.960394561572813	-0.780911579041399
Locus24738	4709	predicted protein [Nematostella vectensis]	-0.100598982476683	-0.0668358912895665	0.0734542620376401	-0.22487578448717	-0.215815908919468	-0.413667165650634	-0.265757648067362	-0.453982612884701	-0.259169428961673	0.129207604073812	-0.323323768715642	0.0594435555118325	0.351772624239355	0.506977285996291	0.489431908492483
Locus2480	4732	myc homolog	-2.59844397237084	-2.57190770628647	-2.24239083062874	-1.14635037062683	-0.0422935528584826	-1.33722068861466	-3.32644613936796	-3.0705430771802	-1.46882535821937	0.701202949769481	-1.31106320244331	0.328428461408284	0.749844391273541	0.618764120876889	0.965366494782884
Locus24874	4762	digestive organ expansion factor-like	-0.214769638939304	-0.126647111751975	-0.114215494839916	0.010304334501883	-0.172840445722224	0.107808817812654	0.0993349949691009	0.183986307546014	0.0195731579301646	-0.0265067396363248	-0.0688253151558389	-0.105486522813327	0.523547810722749	0.896239865695313	0.698017148860893
Locus25673	5004	ribosomal protein l7	-1.86964799200524	-1.04075823096838	-1.57018756622127	0.0240133074442917	0.0553126582806805	-0.102224674152526	-0.231965676889596	-0.983890785817709	-0.703634676535397	0.300752295095633	-0.422075280037911	-0.461941494146019	0.718365512748477	0.766288313020838	0.547211189596106
Locus26014	5123	perlucin 6	-1.25586190993301	-1.52954815467344	-0.619603919023082	-0.407500512200615	-0.664522404601409	0.113468787183744	-2.21032965645083	-1.50021042165051	-1.5546989962304	-0.605177897771467	-1.44392455703542	-0.234648338153803	0.470467944509493	0.486699118372261	0.62371359616028
Locus26105	5155	upf0536 protein c12orf66	-0.171561299064356	0.35796858442283	0.30783827271146	0.253781021269379	0.155350420265186	0.056343199951345	-0.461066100743561	-0.383726642428027	-0.262646732344947	0.107485604833237	-0.108718500244868	0.139288404551458	0.516497657546133	0.542606612752285	0.67898427281682
Locus26988	5434	plcl_mytga ame: full=perlucin-like protein flags: precursor	-1.35329116804297	-1.75717167852238	-1.26244715658716	-0.577929542400618	-0.710428846857962	0.131867740305913	-1.24268299190186	-0.933458895462065	-1.72168013999657	-0.334406641781865	-1.33064232554317	-0.395549255721847	0.713247842133845	0.341017513808204	1.08384183486418
Locus27	5439	fatty acid binding protein brain	-2.61417068631478	-3.21328674713846	-2.87949359770588	-0.711471253027471	0.180085306217678	-0.377687659479712	-1.40363422293502	-1.8050351014767	-1.39672113411025	0.6953049873479	-1.6759323852019	-0.643666552595718	0.655227083993919	1.04242359715479	1.64403660630463
Locus27306	5516	dead box atp-dependent rna helicase	-0.516174273796869	-0.376779863970261	-0.363837742021815	0.035751289498796	-0.144681767644849	0.289937136835299	-0.327732713039732	-0.483040761155928	-0.685579082629137	-0.157684355032023	-0.224188214543719	-0.705065241001781	0.493166840780393	0.36883320196907	0.567865923298583
Locus27908	5710	disulfide bond formation protein a	-0.417064492658991	-0.309884310563144	-0.674578972631214	-0.133723537740445	-0.307547994357331	-0.305453150932531	-0.578258475139392	-0.418583323927004	-0.919936218504541	-0.034664500995017	-0.567624032919299	-0.0892988511937925	0.25200100079614	0.529522501951051	0.636061071495175
Locus2838	5834	myc homolog	-2.65961427516506	-2.86374032558614	-2.36687420303944	-0.890691539968827	-0.61941203737452	-0.59638734670103	-2.15655376760674	-2.4972906989112	-2.31845615122224	0.961752690515195	-2.08036055436376	0.208572041486442	0.96030268629375	0.759502046026584	0.970611127927979
Locus28412	5845	pyroglutamyl-peptidase 1	-0.614913834096737	-0.402483434942053	-0.792983755976878	-0.0422742360641705	-0.11109811016346	-0.218740617394394	-0.415949996987178	-0.279331698994355	-0.441543902301879	0.395395185109445	-0.319312655626235	-0.0196708349792895	0.271389021901561	0.543810001450051	0.741192673141438
Locus30708	6515	syndecan-2 [Trichinella spiralis]	0.944004376569223	0.277024238292735	0.662392634679941	0.255381770696504	0.0717238359639367	0.335482168254203	0.142965039008604	0.155700319395115	-0.197793248976413	-0.0530366579377865	0.0117365820438986	-0.0808601400658575	-0.712929421149723	-0.871305731481706	-0.293793746501404
Locus30824	6543	c20orf152 protein	-0.319636909935348	-0.159151678397844	-0.395003301509924	-0.509272958497678	-0.304887672198737	-0.377701627266726	-0.294443522493988	-0.278554557535268	-0.3080605453284	-0.226763007142394	-0.438283379701892	-0.020346208726889	0.32732187468578	0.256705990643708	0.292848789541189
Locus30875	6556	caspase 8	-0.002827963696663	0.151596676262967	-0.048937913653748	0.012989250557976	-0.097738906408029	0.014577319554548	-0.300469515636592	-0.307698439079417	-0.362879925129498	-0.0327206957805555	0.0237238792072175	0.0778042440685445	0.490908511426879	0.411490381747576	0.380838245945425
Locus31114	6631	calm_eleel ame: full=calmodulin short=	-0.242998484786983	-0.251158995226962	-0.506601077156592	-0.454678421978851	-0.171568775394118	-0.613249058751428	-0.715372859953458	-0.512663306499231	-0.532470380586161	-0.1122223991882	-0.760252050226351	-0.474133847752771	0.525804615491627	0.78698997307613	0.931062077198011
Locus31323	6686	nephrocystin partial	-0.402511705303607	-0.428556003348381	-0.245978214704555	-0.450586663363863	-0.784110412129717	-0.275088686627959	0.308277904052394	0.474974234671203	0.118898130511804	-0.0975940233920875	-0.107009840296526	-0.025957834651126	0.381306592668617	0.340647327558721	0.631782609592491
Locus31872	6837	conserved hypothetical protein [Streptomyces viridochromogenes DSM 40736]	-0.0367093234488796	-0.558300319207006	-0.359201918964346	-0.1659181204651	-0.205901469848719	-0.243182666461143	-0.363040600277218	-0.352646580631791	-0.548544167944764	-0.0130130352910425	-0.489757835285252	-0.388103130648851	0.659191788337309	0.56144404084754	0.41123102693681
Locus32011	6878	short-chain collagen c4- partial	-0.316125518461568	-0.611154590794842	-0.543491066054222	-0.260320831348074	-0.237662227278555	-0.171610871974757	-1.17749827309859	-0.73857826416864	-0.850547642386845	0.374069223676471	-0.7577263495124	0.0105938995428105	0.858992229331992	0.752851597690382	0.741863721206749
Locus32048	6887	poly binding	0.488701251350184	0.288324880967755	0.507548084880808	0.719707729334927	0.313710616458607	0.262601828301737	-0.159170667198721	0.286267360981624	0.437633057640653	-0.170587033939658	-0.119287202296834	0.480369583234648	-0.914460663976126	-1.23867088910855	-0.707446406553133
Locus3274	7089	loc443621 protein	0.029146998289784	-0.415463392950331	-0.46602184239741	-0.645680400770243	-0.511181652818328	-0.255717360018897	0.101000274972206	-0.0845199528986033	-0.212201694940483	0.108005865891242	-0.100429537401165	-0.0800337259147103	0.442284802021553	0.474125933059106	0.572795896974031
Locus32765	7098	piwi-like protein 1	0.483493945245587	0.275226818277442	0.28430922777697	0.0959816714430025	0.151169536360319	0.001636893023199	0.0535227551435278	-0.0965504469067346	0.0450925075619345	-0.244116832582583	-0.0620826924429188	-0.218487904350478	-0.265213007491132	-0.289109989979428	-0.477418685444144
Locus33069	7196	vitelline membrane outer layer protein 1-like	-0.292639334364324	-0.1641080071107	-0.255858147611014	-0.0574690870638511	-0.393081750965053	-0.193667316854016	-0.796268480541301	-0.407410559115333	-0.651448871275745	0.267902041445185	-0.49591638792019	0.328617548020006	0.736671753541831	0.95235198947184	0.547035216285728
Locus33498	7318	hypothetical protein Epulo_07573 [Epulopiscium sp. N.t. morphotype B]	-0.336394844074577	-0.1732603900705	0.0559406398400409	-0.09543197146428	0.312055081460209	-0.103505302949164	-0.153372949966994	0.0244602763989095	-0.134838538061493	0.223251585057704	0.223052209296515	-0.00487266388519	0.551656877382698	0.776668968754727	0.632837787001047
Locus33590	7349	pi-plc x domain-containing protein 3-like	0.0759994611175319	0.0686367353533345	0.029999046791398	-0.024197295138847	0.060799844355789	-0.100162484622669	0.0149708509664895	0.124982373953653	-0.199532089449237	0.252352146059484	0.221799463583211	0.0811212617598702	0.436746430688919	0.81868963278678	0.504021762904582
Locus34982	7715	loc567151 protein	-0.617289228982066	-0.612117256991257	-0.458507557289682	-0.209596298978144	0.00509627764335125	-0.149588768341888	-0.490514990416169	-0.801259404857942	-0.431575092684348	0.528204186795917	-0.13510261370471	-0.184698240132223	0.771472093532801	0.618678714132467	0.296719911708437
Locus35329	7837	myc homolog	-2.62420395764586	-2.88791508355279	-2.224499119444	-1.13271331871422	-0.470157682193982	-0.688781643251865	-3.2625341342486	-3.24107130341196	-2.29714532298777	1.03498250198011	-1.98877457900718	0.298817583842676	1.03836184990111	0.802306660647435	0.953064999515621
Locus35941	8040	ubiquitin-conjugating enzyme e2-17 kda	0.280394719315129	0.257132667764585	0.278240486399311	0.504831603875034	0.0937249734021048	0.192037531824668	0.447028703421967	0.334744744224969	0.054561727869687	-0.486268761578611	-0.144645756251316	-0.126811538222138	-0.309253362558755	-0.706695057101444	-0.59517228444904
Locus36511	8233	hypothetical protein BRAFLDRAFT_204977 [Branchiostoma floridae]	-0.514908504316405	-0.532474845494772	-0.594055826904998	-0.299313256367735	0.217483400089661	-0.103619800471515	-0.225297619793473	-0.428520340620332	-0.458661413908618	-0.0956206550127794	-0.325241234842966	0.0208443801231855	0.704106784124229	0.524449342259622	0.573989852533354
Locus37649	8570	glyoxylate reductase hydroxypyruvate reductase-like	-0.696626931133358	-0.679859472392325	-0.596909744956925	-0.083277945510584	-0.185449303019583	0.00064778366428285	-0.440105763170297	-0.350218962679087	-0.522199461176643	-0.117157477060561	-0.246703971762764	0.524205437994683	0.625295135464291	1.24193091756259	0.402782937612433
Locus37654	8573	sult2 sulfotransferase	-0.281895348721431	-0.429131941328093	-0.137467174593818	-0.490969280091915	-0.366665129845953	-0.939900933119689	-1.30023137581977	-0.916882351844112	-0.603743210623823	0.105477221180804	-0.30060117138813	0.0398372261388363	0.238609971582974	0.702086024753999	0.651353242162282
Locus3768	8582	acyloxyacyl hydrolase-like	-1.22631295564531	-2.45371055942921	-1.92098879958654	-0.55193775015006	-0.0509311235826919	-0.580147775138596	-1.40364450247348	-1.70502343051427	-1.20260832485482	-0.199973708271764	-1.15905641901042	-0.853270778422607	0.416695924218521	0.582099875293548	0.725364897352403
Locus38102	8724	cre-lrp-1 protein	-0.564778761179407	-0.61324890449038	-0.53769696854316	-0.283620635828073	0.0144326564322955	-0.161162103559169	-0.288451776707554	-0.222879472697806	-0.227321083666897	-0.105088071094462	0.0130563085623397	0.13366465790908	0.186944523880029	-0.0622553327526663	0.207907863564531
Locus3843	8804	cell division cycle-associated protein 4-like	0.741470102629216	0.848802759441565	1.00085008243777	0.407235567741842	0.35683792266279	0.35659916677137	-0.0167791274924005	-0.170165317444854	0.518834799916413	0.465927338097154	0.286185130815602	0.703014040470254	-1.11723311282422	-0.662657006095609	-0.429355945347712
Locus39582	9103	gst-n-metaxin-like protein	-0.892257794134633	-0.236369862076859	-0.154352489616203	-0.24501420539119	-0.302320017081209	-0.38344347761523	-0.878191166989036	-0.666964588152605	-0.595077242636162	0.0410339329702336	-0.412180057603734	-0.0689088446096484	0.465082464238494	0.57185143495041	0.839518905071184
Locus39936	9205	guanine nucleotide-binding protein beta 5	-0.606898073265874	-0.767654149829157	-0.52982968448121	-0.11130565580735	0.493134938901601	-0.167531676310862	-0.523605152220314	-0.642601115033935	-0.470558882270219	0.527421450198256	0.205981622056849	-0.210327122435871	0.685790385557731	0.667714794905161	0.431589389859093
Locus40007	9225	hypothetical protein BRAFLDRAFT_285279 [Branchiostoma floridae]	0.828999886657654	0.168545970926319	0.400568513756667	-0.253578263482967	0.198666849268419	0.175853272665703	-0.351588188520994	-0.331329259385778	0.223848748661895	-0.0589771714927347	0.0642544507170477	0.52990892217329	-0.966157370098192	-1.2486654646828	-1.00564075237187
Locus41377	9610	dual-specificity tyrosine- -phosphorylation regulated kinase isoform cra_e	0.244616070394217	0.230111302641575	0.558684850281271	-0.053465680114098	0.344419890879006	0.138394135617045	0.0556985176099039	-0.0335408610564481	0.134876793653796	0.212950389966128	0.160241750046355	0.514294113011472	-0.53645352085085	-1.27670665703293	-0.677792925025185
Locus41393	9615	hypothetical protein BRAFLDRAFT_75999 [Branchiostoma floridae]	-0.587065800209813	-0.725569993540616	-0.644167104956257	-0.240974329035653	-0.605173274443034	-0.68874978953135	-1.65191764339051	-0.744896250809301	-0.999416706112256	0.0569501331656965	-0.625095160724006	-0.240896031757803	0.675026269370685	0.513797764520025	0.602441152185851
Locus42636	9956	hypothetical protein BRAFLDRAFT_74988 [Branchiostoma floridae]	-0.104296063219741	-0.42465378357094	-0.413467424237343	-0.105790778046108	-0.0610744875689076	0.00383946770304999	0.307534196289039	0.184101515690827	-0.0175843004032625	-0.196037708513316	-0.054860188626204	-0.133603581790821	0.313248839065577	0.572902425697921	0.715351968270627
Locus4691	10126	proactivator polypeptide	0.402822579182145	0.279688313366192	0.570869971297775	0.133214989970059	-0.238056729907783	0.0822775298129702	0.0404452049073831	-0.170586539342957	-0.427205742022865	-0.232203993091718	-0.513857773767425	-0.285898380384149	-1.20347477876509	-0.824301344278058	-0.490360209423148
Locus4779	10153	phosphatidate cytidylyltransferase 1	-0.00651219420730815	0.466547861537501	0.27779545991545	0.273568753805723	0.179651570906478	0.206107058073736	0.505411503756714	0.102626148012387	0.358802660918218	-0.434263840044594	-0.24069293182291	-0.0608804685343605	-0.458950962701802	-0.377139636498061	-0.432119129369282
Locus5075	10233	ribosomal protein isoform d	-1.49906802138205	-1.04353806073792	-1.89845523229519	-0.0008426656583527	0.284855378572352	0.174819301290856	-0.059691423194624	-0.545743437832526	-0.904468871177924	0.11830701226086	-0.697050512961517	-0.144715649822787	0.715235946220149	1.3716117694453	1.10912749126288
Locus5244	10309	dynein heavy chain axonemal-like	0.415532011238711	0.300176295189233	0.21757672890582	0.340306232193234	0.0897710328660824	0.219826154842904	-0.201749104457605	0.100840102797098	-0.0549275453527338	0.517999666477335	0.326490211461919	0.5209320913205	-0.340646593904778	-0.449926868504811	-0.120451852719659
Locus5616	10444	a chain crystal structure of cert start domain in complex with c18- ceramide	0.894110096772675	0.559743867848824	0.67245374526645	0.13620589395505	0.232777324120941	0.146913879977787	0.0296081977645771	0.016164919554325	0.27459921668324	0.404206464113633	0.0732754160908883	0.296796938897745	0.060260503869457	-0.094491866444508	-0.205250623687195
Locus6568	10732	dopamine beta hydroxylase-like protein	-1.41417253219746	-1.50088444059847	-1.2195093883582	-0.914339608258138	-0.316455161004306	-1.73039793877555	-2.40242447090975	-1.64785110920791	-1.48918423221046	0.0854703132086295	-1.27914681079747	-0.117692672478131	0.552364116802589	0.83186374772725	1.11474165193051
Locus7199	10881	x-box binding	-0.381657973122087	-0.417012849888615	-0.416923488293714	0.06793641903713	0.0957672531692169	-0.216043593658992	-0.714160856276377	-0.40838067156007	-0.545953556227676	0.197133455464038	0.078757739575856	0.0623786942579665	0.847775786702047	0.714940861689487	0.293358866775186
Locus7245	10899	kinesin-like protein kif16b-like	-0.340715017667311	-0.20166419271918	-0.516812465569523	-0.157346248881189	-0.393336046688132	-0.480023309346293	-0.0367267347993899	-0.632503557018485	-0.275812994451736	0.0189741422617845	0.18988508562691	-0.103997483828675	0.694262047744769	0.52410064307427	0.457931762375795
Locus7577	11014	thyrotropin-releasing hormone degrading enzyme-like	0.627646780864207	0.941789529337984	0.975518118163375	0.494475846197395	0.10702271217551	0.471192709800136	-0.360457797625561	0.200003446375572	0.244307094808292	0.173151625719453	0.410881974077602	0.0095502474467489	-0.503046685553705	-0.743885274207233	-0.241004550870091
Locus7976	11134	sphingomyelin synthetase	-0.060823946726923	-0.206253968298815	-0.141381500647119	0.0413535147493232	0.027658433354732	0.21017797471753	-0.0998648486160433	-0.0136970692378939	0.348985716286544	0.389939295535558	0.36231450058304	0.510603389423409	-0.229677353305358	-0.418395542889318	-0.244484481929079
Locus8015	11145	tctex1 domain-containing protein 1	0.18344570191476	-0.300037494878035	-0.177638918813752	-0.299180035884415	-0.750768939428656	-1.32239063407795	-0.995073329998521	-0.701550568824233	-0.380937772666597	0.573303624597891	-0.08387280320484	-0.45975072732296	1.10484399274097	1.06993465332908	1.18117542580395
Locus8249	11223	goosecoid protein	-0.184823973780213	0.220943874389668	0.367234283980375	0.211715444267739	0.171353934145068	0.139168898469279	0.582586041657329	0.434201994307754	0.561450571140131	0.336868657171849	0.479843045933903	0.738339955430283	-0.66366066991282	-0.543366903610681	-0.406628094029561
Locus8561	11339	copper homeostasis protein cutc homolog	-0.43381280758737	0.0780271948767158	-0.242455552738586	-0.105770700707745	-0.164108261678062	-0.111800162006589	-0.437894361167958	-0.295390874462825	-0.464110917599133	-0.1400551890989	-0.529521304333086	-0.486442133124976	0.387377163743174	0.365038181160982	0.567276222138811
Locus9568	11609	salivary c-type lectin	-0.157133561186934	-0.224467788859332	-0.174404099799713	-0.240054448492228	-0.3779976900389	-1.47998030923079	-0.828751010285225	-0.27298323650559	-0.587210273178103	0.569924051647127	-0.0389272547783205	0.123558017702813	0.931250464485667	1.02537299890712	1.24537917404939
Locus9858	11684	ubiquitin specific peptidase 45	0.975097325777461	0.19129833278361	0.261974933773275	0.209675582281738	0.168371645171699	0.096478159703791	-0.411737519334909	0.307341232883565	0.729123811661907	0.633657416927462	0.676094321874614	0.880222734061712	-0.925315531481987	-1.33917902170987	-0.956203791325462
NODE_117052_length_199_	11849	endonuclease-reverse transcriptase	0.425127586733519	0.269484317524171	0.278609075689737	0.0965680861499048	0.104349612515181	0.252202960290393	0.0650699203485745	0.151855117855343	0.346691553972112	0.151466918768477	0.66912677904603	0.5116322303536	-0.344540975593245	-0.555269340701582	-0.305331648068069
NODE_154647_length_149_	12195	cysteine and histidine-rich protein	-0.295507091597116	-0.152260135229918	-0.5488216661304	0.0216430683175051	0.284095654686904	0.304240574000394	-0.0428743836381708	0.0677015699681686	0.230114115060196	0.340254255803883	0.383071122802299	0.231700858730934	-0.615272113179648	-0.680941321035206	-0.484303088508613
